
EXP:	Thu Dec 27 20:32:56 2018
CO-EVOLUTION [1545939176]
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10

EXP:	Thu Dec 27 20:38:45 2018
CO-EVOLUTION [1545939525]
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10

EXP:	Thu Dec 27 20:56:58 2018
KO-EWOLUCJA [1545940618]
ROZMIAR=	200x100
MAPA=	
WYPOSAZENIE_POTOMSTWA=	0.05
EFEKTYWNOSC_AUTOTROFA=	0.5
MAX_WIEK=	50
PLODNOSC=	0.2
RTG=	0.000625
PRAWDOPODOBIENSTWO KATASTROF=	0(disabled)
EKSPLOATACJA=	DRAPIEZNICZA
DYSTANS RUCHU=	1
BIT_STABILIZACJI_RUCHU=	1024
ELASTYCZNE MIJANIE=	YES
MONTECARLO STEPS per STEP=	10
 STEP/VERSION	liczba agentow	liczba autotrofow	klony	klony autotroficzne	taksony	taksony autotroficzne	klonów od poczatku	taksonów od poczatku	Mean(EnergiaZ)	SD(EnergiaZ)	Max(EnergiaZ)	Mean(WiekZ)	SD(WiekZ)	Max(WiekZ)	Min(OslonaZ)	Max(OslonaZ)	Min(TrofiaZ)	Max(TrofiaZ)	WhichMain(bity autotrofów)	MainClass(bity autotrofów)	WhichMain(bity heterotrofów)	MainClass(bity heterotrofów)	N1(bity autotrofów)	N2(bity autotrofów)	N3(bity autotrofów)	N4(bity autotrofów)	N5(bity autotrofów)	N6(bity autotrofów)	N7(bity autotrofów)	N8(bity autotrofów)	N9(bity autotrofów)	N10(bity autotrofów)	N11(bity autotrofów)	N12(bity autotrofów)	N13(bity autotrofów)	N14(bity autotrofów)	N15(bity autotrofów)	N16(bity autotrofów)	N1(bity heterotrofów)	N2(bity heterotrofów)	N3(bity heterotrofów)	N4(bity heterotrofów)	N5(bity heterotrofów)	N6(bity heterotrofów)	N7(bity heterotrofów)	N8(bity heterotrofów)	N9(bity heterotrofów)	N10(bity heterotrofów)	N11(bity heterotrofów)	N12(bity heterotrofów)	N13(bity heterotrofów)	N14(bity heterotrofów)	N15(bity heterotrofów)	N16(bity heterotrofów)	
0	2	2	1	1	0	0	1	1	142	24.0416	159	210.5	4.94975	255	0	255	0	255	16.5	2	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	3	3	1	1	0	0	1	1	300.333	145.514	468	216.333	8.73689	255	0	255	0	255	16.5	3	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	5	5	1	1	0	0	1	1	270.2	185.635	520	217.8	12.3774	255	0	255	0	255	16.5	5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	6	6	1	1	0	0	1	1	524	196.212	849	223.5	12.7083	255	0	255	0	255	16.5	6	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	13	13	1	1	0	0	1	1	336.615	243.193	863	221.077	15.9136	255	0	255	0	255	16.5	13	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	16	16	1	1	0	0	1	1	501.375	265.496	974	220.75	12.0139	255	0	255	0	255	16.5	16	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	31	31	1	1	0	0	1	1	429.484	187.124	945	220.581	12.6538	255	0	255	0	255	16.5	31	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	56	56	1	1	0	0	1	1	323.714	257.651	1204	219.018	12.979	255	0	255	0	255	16.5	56	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	84	84	1	1	0	0	1	1	379.024	276.195	1213	219.81	11.7026	255	0	255	0	255	16.5	84	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	131	131	1	1	1	1	1	1	433.405	274.867	1649	221.435	12.3326	255	0	255	0	255	16.5	131	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	200	197	4	1	1	1	4	4	447.975	312.418	2041	221.57	13.0686	255	0	255	0	255	16.5	197	15.5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
11	299	292	5	2	1	1	6	6	451.221	366.533	3958	221.475	13.2805	255	0	255	0	255	16.5	291	15.5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
12	411	400	5	2	1	1	6	6	485.109	408.862	3568	221.633	13.6283	255	0	255	0	255	16.5	399	15.5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	
13	538	517	5	1	1	1	9	7	528.619	604.146	7226	221.327	13.257	255	0	255	0	255	16.5	517	15.5	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	
14	680	648	7	2	1	1	11	9	552.479	656.81	10081	221.474	13.054	255	0	255	0	255	16.5	647	15.5	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	
15	871	825	7	2	1	1	14	11	576.108	725.401	10341	221.948	13.2908	255	0	255	0	255	16.5	822	15.5	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	
16	1070	1020	9	3	1	1	18	15	601.934	799.356	11846	222.558	13.4944	255	0	255	0	255	16.5	1016	15.5	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	
17	1309	1240	12	4	1	1	23	20	626.635	866.322	12653	222.529	13.5152	255	0	255	0	255	16.5	1235	15.5	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1235	0	0	0	0	0	0	0	0	0	0	0	0	0	1	68	0	
18	1569	1486	13	5	1	1	27	24	660.034	1092.36	19834	222.563	13.5785	255	0	255	0	255	16.5	1479	15.5	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1479	0	0	0	0	0	0	0	0	0	0	0	0	0	1	82	0	
19	1839	1729	16	7	1	1	38	30	710.337	1166.83	18612	223.388	13.6659	255	0	255	0	255	16.5	1719	15.5	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1719	0	0	0	0	0	0	0	0	0	0	0	0	0	2	108	0	
20	2056	1938	15	6	1	1	45	32	746.587	1217.92	23595	223.692	13.7735	255	0	255	0	255	16.5	1926	15.5	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1926	0	0	0	0	0	0	0	0	0	0	0	0	0	4	114	0	
