"IMPORTANT FILOGENETIC" LINES from 0-th step to global "end of life" in 307-th step
MODEL PARAMETERS:
ROZMIAR=	300x150
MAPA=	
WYPOSAZENIE_POTOMSTWA=	0.05
EFEKTYWNOSC_AUTOTROFA=	0.5
MAX_WIEK=	50
PLODNOSC=	0.2
RTG=	0.000625
PRAWDOPODOBIENSTWO KATASTROF=	0(disabled)
EKSPLOATACJA=	DRAPIEZNICZA
DYSTANS RUCHU=	1
BIT_STABILIZACJI_RUCHU=	1024
ELASTYCZNE MIJANIE=	YES
MONTECARLO STEPS per STEP=	10

FULLCODE	ORDNUMBER	ANCORDNUM	BEGSTEP	ENDSTEP	LIFETIME	CURRAGENTS	ALLAGENTS	FEEDNISHE	DEFFNISHE	FEEDSPEC	DEFFSPEC	SPECJALIS	NISHENAME
ffff_1	1	1	0	141	141	0	119521	255	255	8	8	16	ffff	
bfff_3	3	1	9	97	88	0	2271	191	255	7	8	15	bfff	
bdff_158	344	3	37	72	35	0	146	189	255	6	8	14	bdff	
ffbf_5	5	1	11	48	37	0	218	255	191	8	7	15	ffbf	
dfff_7	7	1	13	69	56	0	396	223	255	7	8	15	dfff	
f7ff_a	10	1	14	99	85	0	1146	247	255	7	8	15	f7ff	
ff7f_b	11	1	15	136	121	0	4573	255	127	8	7	15	ff7f	
ff7b_1fc	508	11	42	107	65	0	530	255	123	8	6	14	ff7b	
ff7a_96d	2413	508	75	110	35	0	189	255	122	8	5	13	ff7a	
7f7f_62e	1582	11	64	149	85	0	1852	127	127	7	7	14	7f7f	
7f3f_d6a	3434	1582	87	194	107	0	823	127	63	7	6	13	7f3f	
7b3f_1d90	7568	3434	136	140	4	0	7	123	63	6	6	12	7b3f	
7f37_2aa0	10912	3434	170	205	35	0	137	127	55	7	5	12	7f37	
7f7e_f8b	3979	1582	93	136	43	0	629	127	126	7	6	13	7f7e	
7f7d_13ae	5038	1582	104	106	2	0	3	127	125	7	6	13	7f7d	
ff6f_862	2146	11	72	118	46	0	251	255	111	8	6	14	ff6f	
7f7f_c6a	3178	11	84	265	181	0	11563	127	127	7	7	14	7f7f	
7f5f_151b	5403	3178	109	142	33	0	145	127	95	7	6	13	7f5f	
775f_1984	6532	5403	123	126	3	0	1	119	95	6	6	12	775f	
7f77_2162	8546	3178	147	188	41	0	168	127	119	7	6	13	7f77	
7f77_260e	9742	3178	159	160	1	0	1	127	119	7	6	13	7f77	
7f77_2715	10005	3178	161	227	66	0	540	127	119	7	6	13	7f77	
ff7e_d32	3378	11	86	191	105	0	720	255	126	8	6	14	ff7e	
ff7d_ff0	4080	11	94	127	33	0	107	255	125	8	6	14	ff7d	
fbff_c	12	1	15	53	38	0	312	251	255	7	8	15	fbff	
bfff_e	14	1	16	60	44	0	393	191	255	7	8	15	bfff	
fbff_f	15	1	16	103	87	0	2111	251	255	7	8	15	fbff	
bbff_db	219	15	33	73	40	0	130	187	255	6	8	14	bbff	
fbf7_f9	249	15	34	52	18	0	74	251	247	7	7	14	fbf7	
fbfe_40e	1038	15	54	83	29	0	144	251	254	7	7	14	fbfe	
dbfe_925	2341	1038	74	81	7	0	7	219	254	6	7	13	dbfe	
feff_13	19	1	17	107	90	0	2589	254	255	7	8	15	feff	
febf_1a4	420	19	39	85	46	0	189	254	191	7	7	14	febf	
fefe_488	1160	19	57	73	16	0	52	254	254	7	7	14	fefe	
7eff_704	1796	19	67	103	36	0	104	126	255	6	8	14	7eff	
7eff_763	1891	19	68	108	40	0	138	126	255	6	8	14	7eff	
f7ff_15	21	1	18	119	101	0	1107	247	255	7	8	15	f7ff	
f7fe_301	769	21	49	52	3	0	5	247	254	7	7	14	f7fe	
feff_18	24	1	19	53	34	0	193	254	255	7	8	15	feff	
7fff_1f	31	1	21	39	18	0	99	127	255	7	8	15	7fff	
ffbf_20	32	1	22	114	92	0	1056	255	191	8	7	15	ffbf	
7fbf_b96	2966	32	81	114	33	0	270	127	191	7	7	14	7fbf	
ffdf_22	34	1	22	30	8	0	7	255	223	8	7	15	ffdf	
ffbf_2e	46	1	23	113	90	0	1322	255	191	8	7	15	ffbf	
fdff_33	51	1	23	67	44	0	315	253	255	7	8	15	fdff	
7fff_39	57	1	24	139	115	0	2168	127	255	7	8	15	7fff	
ff7f_3e	62	1	24	46	22	0	44	255	127	8	7	15	ff7f	
ff77_53	83	62	25	166	141	0	17409	255	119	8	6	14	ff77	
ef77_3a4	932	83	52	91	39	0	171	239	119	7	6	13	ef77	
ff73_8ac	2220	83	72	79	7	0	11	255	115	8	5	13	ff73	
ff57_8b5	2229	83	73	244	171	0	3196	255	87	8	5	13	ff57	
f777_93d	2365	83	74	115	41	0	161	247	119	7	6	13	f777	
fe77_ac2	2754	83	79	125	46	0	379	254	119	7	6	13	fe77	
ff76_cd0	3280	83	85	99	14	0	63	255	118	8	5	13	ff76	
7f76_e88	3720	3280	90	144	54	0	522	127	118	7	5	12	7f76	
5f76_1219	4633	3720	100	114	14	0	53	95	118	6	5	11	5f76	
ff57_d7b	3451	83	87	214	127	0	1465	255	87	8	5	13	ff57	
7f77_dec	3564	83	88	180	92	0	620	127	119	7	6	13	7f77	
