
EXP:	Wed Jul 13 23:02:06 2011
CO-EVOLUTION [1310590926]
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10
DATA_VER	MCStep	num. of agents	num. of autotrophs	clones	autotrophic clones	species	autotrophic species	clones from the beginning	species from the begining	Mean(EnergyA)	SD(EnergyA)	Max(EnergyA)	Mean(AgeA)	SD(AgeA)	Max(AgeA)	Min(DefenceA)	Max(DefenceA)	Min(TrophyA)	Max(TrophyA)	WhichMain(spec. bits of autotrophs)	MainClass(spec. bits of autotrophs)	WhichMain(spec. bits of heterotrophs)	MainClass(spec. bits of heterotrophs)	N1(spec. bits of autotrophs)	N2(spec. bits of autotrophs)	N3(spec. bits of autotrophs)	N4(spec. bits of autotrophs)	N5(spec. bits of autotrophs)	N6(spec. bits of autotrophs)	N7(spec. bits of autotrophs)	N8(spec. bits of autotrophs)	N9(spec. bits of autotrophs)	N10(spec. bits of autotrophs)	N11(spec. bits of autotrophs)	N12(spec. bits of autotrophs)	N13(spec. bits of autotrophs)	N14(spec. bits of autotrophs)	N15(spec. bits of autotrophs)	N16(spec. bits of autotrophs)	N1(spec. bits of heterotrophs)	N2(spec. bits of heterotrophs)	N3(spec. bits of heterotrophs)	N4(spec. bits of heterotrophs)	N5(spec. bits of heterotrophs)	N6(spec. bits of heterotrophs)	N7(spec. bits of heterotrophs)	N8(spec. bits of heterotrophs)	N9(spec. bits of heterotrophs)	N10(spec. bits of heterotrophs)	N11(spec. bits of heterotrophs)	N12(spec. bits of heterotrophs)	N13(spec. bits of heterotrophs)	N14(spec. bits of heterotrophs)	N15(spec. bits of heterotrophs)	N16(spec. bits of heterotrophs)	CLOCK
0	10	3	3	1	1	0	0	1	1	230	85.7146	319	210	5.2915	255	0	255	0	255	16.5	3	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12671
1	20	6	6	1	1	0	0	1	1	506.667	361.25	1021	214.167	7.25029	255	0	255	0	255	16.5	6	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12796
2	30	13	13	1	1	0	0	1	1	600.923	587.833	1812	215.846	10.1886	255	0	255	0	255	16.5	13	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12921
3	40	35	35	1	1	0	0	1	1	531.743	394.603	1970	215.514	10.048	255	0	255	0	255	16.5	35	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13078
4	50	75	75	1	1	0	0	1	1	629.28	503.531	2327	216.64	10.6867	255	0	255	0	255	16.5	75	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13187
5	60	171	171	1	1	1	1	1	1	651.626	516.727	2985	216.596	10.5209	255	0	255	0	255	16.5	171	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13312
6	70	340	340	1	1	1	1	1	1	784.871	587.147	4052	218.038	11.1869	255	0	255	0	255	16.5	340	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13437
7	80	586	586	1	1	1	1	1	1	975.28	708.521	3732	219.805	11.9613	255	0	255	0	255	16.5	586	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13562
8	90	900	900	2	2	1	1	2	2	1161.43	859	4695	221.294	12.4832	255	0	255	0	255	16.5	899	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13687
9	100	1239	1238	4	3	1	1	4	4	1384.7	977.024	4883	223.307	13.1502	255	0	255	0	255	16.5	1236	15.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13812
