IMPORTANT FILOGENETIC LINES from 0-th step to global "end of life" in 39380-th step
MODEL PARAMETERS:
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10

FULLCODE	ORDNUMBER	ANCORDNUM	BEGSTEP	ENDSTEP	LIFETIME	CURRAGENTS	ALLAGENTS	FEEDNISHE	DEFFNISHE	FEEDSPEC	DEFFSPEC	SPECJALIS	NISHENAME
Au_255_1	1	1	0	2000	2000	0	602374	255	255	8	8	16	ffff	
df_ff_6	6	1	130	1930	1800	0	13913	223	255	7	8	15	dfff	
fb_ff_8	8	1	140	2410	2270	0	23634	251	255	7	8	15	fbff	
bb_ff_1056	1056	8	780	1240	460	0	131	187	255	6	8	14	bbff	
fb_ef_2340	2340	8	1280	1470	190	0	102	251	239	7	7	14	fbef	
fb_7f_2379	2379	8	1290	2450	1160	0	3424	251	127	7	7	14	fb7f	
fb_7e_4962	4962	2379	2120	2360	240	0	104	251	126	7	6	13	fb7e	
fb_ff_14	14	1	150	2440	2290	0	30327	251	255	7	8	15	fbff	
fa_ff_1142	1142	14	810	1100	290	0	145	250	255	6	8	14	faff	
fb_df_2865	2865	14	1450	1850	400	0	265	251	223	7	7	14	fbdf	
bf_ff_16	16	1	160	810	650	0	1478	191	255	7	8	15	bfff	
df_ff_18	18	1	180	1470	1290	0	5753	223	255	7	8	15	dfff	
d7_ff_342	342	18	470	1240	770	0	1436	215	255	6	8	14	d7ff	
bf_ff_19	19	1	190	1450	1260	0	6107	191	255	7	8	15	bfff	
Au_191_20	20	1	190	510	320	0	169	255	191	8	7	15	ffbf	
ef_ff_21	21	1	200	1040	840	0	1688	239	255	7	8	15	efff	
fb_ff_25	25	1	210	2150	1940	0	15486	251	255	7	8	15	fbff	
fb_7f_1339	1339	25	900	1210	310	0	300	251	127	7	7	14	fb7f	
fb_fb_3975	3975	25	1810	2140	330	0	251	251	251	7	7	14	fbfb	
df_ff_28	28	1	210	2250	2040	0	11864	223	255	7	8	15	dfff	
df_bf_929	929	28	720	740	20	0	1	223	191	7	7	14	dfbf	
fe_ff_30	30	1	220	1510	1290	0	5849	254	255	7	8	15	feff	
df_ff_34	34	1	230	1920	1690	0	4146	223	255	7	8	15	dfff	
bf_ff_36	36	1	230	600	370	0	129	191	255	7	8	15	bfff	
Au_239_39	39	1	240	1020	780	0	857	255	239	8	7	15	ffef	
Au_191_40	40	1	240	1940	1700	0	48145	255	191	8	7	15	ffbf	
7f_bf_259	259	40	420	840	420	0	231	127	191	7	7	14	7fbf	
Au_189_1031	1031	40	770	1020	250	0	259	255	189	8	6	14	ffbd	
Au_190_1230	1230	40	850	1140	290	0	305	255	190	8	6	14	ffbe	
Au_190_1343	1343	40	900	1340	440	0	302	255	190	8	6	14	ffbe	
Au_175_1396	1396	40	920	1310	390	0	634	255	175	8	6	14	ffaf	
Au_255_1586	1586	40	1010	1110	100	0	31	255	255	8	8	16	ffff	
fe_ff_1783	1783	1586	1080	1890	810	0	750	254	255	7	8	15	feff	
bf_bf_2687	2687	40	1390	1760	370	0	177	191	191	7	7	14	bfbf	
fd_ff_44	44	1	250	1590	1340	0	8854	253	255	7	8	15	fdff	
f7_ff_49	49	1	260	1060	800	0	1985	247	255	7	8	15	f7ff	
Au_247_54	54	1	260	580	320	0	165	255	247	8	7	15	fff7	
7f_ff_56	56	1	260	720	460	0	264	127	255	7	8	15	7fff	
bf_ff_58	58	1	270	800	530	0	666	191	255	7	8	15	bfff	
fd_ff_59	59	1	270	1790	1520	0	5097	253	255	7	8	15	fdff	
ef_ff_60	60	1	270	610	340	0	135	239	255	7	8	15	efff	
fd_ff_68	68	1	280	2460	2180	0	6321	253	255	7	8	15	fdff	
f5_ff_1088	1088	68	790	1390	600	0	819	245	255	6	8	14	f5ff	
fd_ff_69	69	1	280	2290	2010	0	13048	253	255	7	8	15	fdff	
fd_bf_1175	1175	69	830	2160	1330	0	3054	253	191	7	7	14	fdbf	
fd_bd_4662	4662	1175	2020	2350	330	0	178	253	189	7	6	13	fdbd	
Au_239_78	78	1	290	620	330	0	172	255	239	8	7	15	ffef	
df_ff_80	80	1	290	1970	1680	0	3982	223	255	7	8	15	dfff	
Au_253_83	83	1	300	360	60	0	3	255	253	8	7	15	fffd	
f7_fd_121	121	83	330	1570	1240	0	3889	247	253	7	7	14	f7fd	
bf_ff_84	84	1	300	570	270	0	156	191	255	7	8	15	bfff	
df_ff_85	85	1	300	1740	1440	0	7302	223	255	7	8	15	dfff	
dd_ff_916	916	85	720	1350	630	0	825	221	255	6	8	14	ddff	
df_ff_86	86	1	300	1860	1560	0	7490	223	255	7	8	15	dfff	
df_7f_575	575	86	570	1040	470	0	396	223	127	7	7	14	df7f	
fd_ff_89	89	1	310	640	330	0	196	253	255	7	8	15	fdff	
f9_ff_160	160	89	370	2200	1830	0	14634	249	255	6	8	14	f9ff	
fd_ff_91	91	1	310	2420	2110	0	18309	253	255	7	8	15	fdff	
df_ff_96	96	1	310	2050	1740	0	9240	223	255	7	8	15	dfff	
df_fe_1730	1730	96	1060	1500	440	0	255	223	254	7	7	14	dffe	
Au_255_1780	1780	96	1080	1290	210	0	142	255	255	8	8	16	ffff	
fb_ff_103	103	1	320	2540	2220	0	14762	251	255	7	8	15	fbff	
fe_ff_104	104	1	320	770	450	0	640	254	255	7	8	15	feff	
fe_bf_859	859	104	690	980	290	0	223	254	191	7	7	14	febf	
fd_ff_107	107	1	330	1020	690	0	633	253	255	7	8	15	fdff	
Au_127_109	109	1	330	700	370	0	160	255	127	8	7	15	ff7f	
f7_ff_110	110	1	330	680	350	0	172	247	255	7	8	15	f7ff	
f7_ff_111	111	1	330	2850	2520	0	11794	247	255	7	8	15	f7ff	
f7_df_3595	3595	111	1680	2150	470	0	333	247	223	7	7	14	f7df	
fd_ff_117	117	1	330	2550	2220	0	25058	253	255	7	8	15	fdff	
dd_ff_1810	1810	117	1090	1480	390	0	247	221	255	6	8	14	ddff	
7d_ff_1876	1876	117	1120	2700	1580	0	4878	125	255	6	8	14	7dff	
bf_ff_124	124	1	340	760	420	0	404	191	255	7	8	15	bfff	
fe_ff_126	126	1	340	2370	2030	0	8148	254	255	7	8	15	feff	
fe_ff_137	137	1	350	1220	870	0	1589	254	255	7	8	15	feff	
fe_ff_138	138	1	350	640	290	0	100	254	255	7	8	15	feff	
Au_191_146	146	1	350	2220	1870	0	4754	255	191	8	7	15	ffbf	
Au_159_1451	1451	146	950	1990	1040	0	2150	255	159	8	6	14	ff9f	
fd_ff_148	148	1	350	1160	810	0	974	253	255	7	8	15	fdff	
fe_ff_149	149	1	350	2370	2020	0	25083	254	255	7	8	15	feff	
de_ff_746	746	149	650	1110	460	0	317	222	255	6	8	14	deff	
Au_255_1296	1296	149	870	1000	130	0	54	255	255	8	8	16	ffff	
ee_ff_1400	1400	149	930	1730	800	0	2297	238	255	6	8	14	eeff	
fe_7f_1782	1782	149	1080	1660	580	0	257	254	127	7	7	14	fe7f	
fe_fe_4185	4185	149	1870	2070	200	0	107	254	254	7	7	14	fefe	
7e_ff_4216	4216	149	1880	2350	470	0	460	126	255	6	8	14	7eff	
fd_ff_150	150	1	360	2280	1920	0	5088	253	255	7	8	15	fdff	
f9_ff_4426	4426	150	1950	2110	160	0	115	249	255	6	8	14	f9ff	
ef_ff_158	158	1	360	500	140	0	24	239	255	7	8	15	efff	
cf_ff_313	313	158	450	1500	1050	0	2276	207	255	6	8	14	cfff	
7f_ff_159	159	1	360	630	270	0	146	127	255	7	8	15	7fff	
f7_ff_161	161	1	370	1140	770	0	1529	247	255	7	8	15	f7ff	
Au_127_165	165	1	370	3780	3410	0	397762	255	127	8	7	15	ff7f	
fd_7f_1273	1273	165	870	2250	1380	0	810	253	127	7	7	14	fd7f	
Au_126_1447	1447	165	950	2380	1430	0	7654	255	126	8	6	14	ff7e	
Au_110_3085	3085	1447	1520	1800	280	0	172	255	110	8	5	13	ff6e	
Au_119_1575	1575	165	1010	2640	1630	0	7408	255	119	8	6	14	ff77	
7f_77_4504	4504	1575	1970	3020	1050	0	3920	127	119	7	6	13	7f77	
fb_77_6002	6002	1575	2450	2640	190	0	115	251	119	7	6	13	fb77	
Au_126_1643	1643	165	1030	2110	1080	0	1536	255	126	8	6	14	ff7e	
Au_119_1970	1970	165	1150	2430	1280	0	1695	255	119	8	6	14	ff77	
7f_7f_2097	2097	165	1190	5450	4260	0	28511	127	127	7	7	14	7f7f	
7f_ff_4769	4769	2097	2060	2170	110	0	36	127	255	7	8	15	7fff	
7f_5f_11676	11676	2097	4160	4570	410	0	150	127	95	7	6	13	7f5f	
f7_7f_2123	2123	165	1200	1530	330	0	412	247	127	7	7	14	f77f	
f5_7f_2541	2541	2123	1350	1700	350	0	164	245	127	6	7	13	f57f	
fd_7f_2141	2141	165	1210	2570	1360	0	2076	253	127	7	7	14	fd7f	
Au_126_2179	2179	165	1230	1830	600	0	458	255	126	8	6	14	ff7e	
df_7f_2257	2257	165	1250	1560	310	0	144	223	127	7	7	14	df7f	
Au_126_2540	2540	165	1350	1610	260	0	123	255	126	8	6	14	ff7e	
fd_7f_2613	2613	165	1370	1620	250	0	135	253	127	7	7	14	fd7f	
7f_7f_2643	2643	165	1380	6100	4720	0	80098	127	127	7	7	14	7f7f	
7d_7f_5098	5098	2643	2160	2690	530	0	431	125	127	6	7	13	7d7f	
7d_7e_5452	5452	5098	2270	2990	720	0	2143	125	126	6	6	12	7d7e	
7d_7d_5974	5974	5098	2440	3570	1130	0	3114	125	125	6	6	12	7d7d	
7f_7e_5198	5198	2643	2190	2680	490	0	599	127	126	7	6	13	7f7e	
7f_6f_5421	5421	2643	2260	2430	170	0	158	127	111	7	6	13	7f6f	
77_7f_5586	5586	2643	2320	2510	190	0	102	119	127	6	7	13	777f	
7e_7f_5714	5714	2643	2360	2660	300	0	183	126	127	6	7	13	7e7f	
5f_7f_6138	6138	2643	2500	2760	260	0	157	95	127	6	7	13	5f7f	
7f_5f_6295	6295	2643	2560	5440	2880	0	8122	127	95	7	6	13	7f5f	
7f_5f_7464	7464	2643	2920	3090	170	0	112	127	95	7	6	13	7f5f	
7e_7f_8058	8058	2643	3110	3370	260	0	119	126	127	6	7	13	7e7f	
7f_3f_9422	9422	2643	3500	3990	490	0	285	127	63	7	6	13	7f3f	
7f_3f_10551	10551	2643	3830	4210	380	0	149	127	63	7	6	13	7f3f	
Au_126_2651	2651	165	1380	2480	1100	0	3001	255	126	8	6	14	ff7e	
fd_7f_3129	3129	165	1530	1720	190	0	99	253	127	7	7	14	fd7f	
7f_7f_3303	3303	165	1590	1630	40	0	3	127	127	7	7	14	7f7f	
f7_7f_3324	3324	165	1590	1880	290	0	208	247	127	7	7	14	f77f	
fe_7f_3361	3361	165	1600	2130	530	0	768	254	127	7	7	14	fe7f	
7f_7f_3462	3462	165	1640	2270	630	0	750	127	127	7	7	14	7f7f	
Au_125_3478	3478	165	1640	2000	360	0	215	255	125	8	6	14	ff7d	
7f_7f_3573	3573	165	1670	3670	2000	0	18410	127	127	7	7	14	7f7f	
5f_7f_6849	6849	3573	2740	3050	310	0	106	95	127	6	7	13	5f7f	
6f_7f_7738	7738	3573	3010	3830	820	0	650	111	127	6	7	13	6f7f	
fd_7f_3645	3645	165	1700	2230	530	0	433	253	127	7	7	14	fd7f	
Au_123_3674	3674	165	1700	2010	310	0	108	255	123	8	6	14	ff7b	
Au_63_3829	3829	165	1750	2020	270	0	120	255	63	8	6	14	ff3f	
7f_7f_3965	3965	165	1810	2770	960	0	1961	127	127	7	7	14	7f7f	
7f_5f_4857	4857	3965	2080	3200	1120	0	3066	127	95	7	6	13	7f5f	
f7_7f_3990	3990	165	1810	2100	290	0	163	247	127	7	7	14	f77f	
ef_7f_4260	4260	165	1890	2100	210	0	118	239	127	7	7	14	ef7f	
Au_123_4295	4295	165	1900	2150	250	0	112	255	123	8	6	14	ff7b	
7f_7f_4323	4323	165	1910	5750	3840	0	55459	127	127	7	7	14	7f7f	
7f_7d_6223	6223	4323	2540	3950	1410	0	2728	127	125	7	6	13	7f7d	
7f_6f_7188	7188	4323	2840	3550	710	0	1089	127	111	7	6	13	7f6f	
7f_7d_8373	8373	4323	3200	3500	300	0	217	127	125	7	6	13	7f7d	
7f_6f_10168	10168	4323	3720	4060	340	0	284	127	111	7	6	13	7f6f	
7d_7f_11374	11374	4323	4080	5760	1680	0	3268	125	127	6	7	13	7d7f	
7d_7d_15611	15611	11374	5320	5580	260	0	107	125	125	6	6	12	7d7d	
7f_7b_11747	11747	4323	4180	4630	450	0	368	127	123	7	6	13	7f7b	
7f_7d_13019	13019	4323	4570	6460	1890	0	7813	127	125	7	6	13	7f7d	
7f_3d_16290	16290	13019	5510	6100	590	0	426	127	61	7	5	12	7f3d	
7f_6d_18006	18006	13019	6000	6550	550	0	339	127	109	7	5	12	7f6d	
7f_3f_13311	13311	4323	4660	6650	1990	0	3779	127	63	7	6	13	7f3f	
7f_7d_14659	14659	4323	5040	5370	330	0	237	127	125	7	6	13	7f7d	
fb_7f_4378	4378	165	1930	2280	350	0	172	251	127	7	7	14	fb7f	
Au_123_4780	4780	165	2060	2270	210	0	99	255	123	8	6	14	ff7b	
7f_7f_4795	4795	165	2060	2890	830	0	1664	127	127	7	7	14	7f7f	
Au_125_5052	5052	165	2140	2450	310	0	121	255	125	8	6	14	ff7d	
Au_126_5109	5109	165	2170	2190	20	0	3	255	126	8	6	14	ff7e	
fe_7f_5190	5190	165	2190	2430	240	0	171	254	127	7	7	14	fe7f	
7f_7f_5285	5285	165	2220	2550	330	0	293	127	127	7	7	14	7f7f	
fb_7f_5304	5304	165	2230	2670	440	0	249	251	127	7	7	14	fb7f	
Au_95_5761	5761	165	2370	2820	450	0	270	255	95	8	6	14	ff5f	
